iter	Passed	Remaining
0	155	155099
1	165	82404
2	183	60908
3	196	48894
4	209	41627
5	223	37101
6	235	33476
7	247	30717
8	254	28059
9	264	26209
10	275	24739
11	283	23380
12	293	22253
13	300	21161
14	309	20348
15	318	19612
16	328	18982
17	340	18590
18	348	17979
19	359	17612
20	370	17294
21	378	16821
22	386	16430
23	397	16164
24	403	15744
25	412	15440
26	422	15238
27	432	15005
28	442	14800
29	451	14607
30	461	14420
31	470	14244
32	481	14104
33	495	14087
34	505	13938
35	515	13800
36	523	13626
37	532	13486
38	543	13390
39	554	13304
40	563	13188
41	575	13135
42	585	13039
43	596	12954
44	605	12859
45	616	12783
46	624	12668
47	632	12545
48	641	12450
49	651	12372
50	657	12230
51	665	12136
52	674	12056
53	683	11967
54	692	11905
55	702	11843
56	713	11796
57	721	11725
58	731	11669
59	743	11642
60	752	11577
61	760	11511
62	770	11453
63	778	11383
64	786	11317
65	796	11266
66	805	11216
67	812	11133
68	819	11058
69	826	10982
70	834	10922
71	843	10873
72	851	10812
73	858	10746
74	866	10688
75	873	10624
76	879	10537
77	887	10489
78	896	10448
79	905	10412
80	913	10360
81	920	10307
82	927	10247
83	935	10204
84	943	10160
85	954	10140
86	963	10111
87	971	10070
88	980	10036
89	989	10007
90	999	9988
91	1009	9966
92	1018	9933
93	1026	9888
94	1034	9852
95	1040	9794
96	1045	9734
97	1052	9691
98	1061	9659
99	1069	9625
100	1078	9598
101	1086	9567
102	1094	9535
103	1102	9502
104	1111	9475
105	1120	9449
106	1127	9412
107	1136	9383
108	1145	9362
109	1153	9336
110	1163	9318
111	1172	9295
112	1179	9262
113	1187	9231
114	1198	9225
115	1208	9209
116	1216	9183
117	1224	9150
118	1231	9118
119	1240	9099
120	1248	9070
121	1255	9037
122	1265	9020
123	1274	9001
124	1281	8971
125	1289	8944
126	1297	8917
127	1302	8875
128	1310	8846
129	1318	8822
130	1326	8796
131	1333	8769
132	1341	8742
133	1349	8724
134	1358	8705
135	1366	8678
136	1373	8653
137	1381	8630
138	1389	8609
139	1398	8589
140	1406	8565
141	1411	8531
142	1419	8505
143	1428	8492
144	1438	8482
145	1447	8469
146	1457	8455
147	1471	8469
148	1481	8463
149	1491	8454
150	1503	8453
151	1512	8438
152	1521	8421
153	1532	8416
154	1541	8403
155	1550	8386
156	1558	8369
157	1567	8355
158	1576	8336
159	1583	8314
160	1591	8295
161	1600	8279
162	1608	8260
163	1616	8238
164	1624	8221
165	1633	8204
166	1640	8184
167	1648	8161
168	1656	8144
169	1665	8132
170	1673	8115
171	1683	8101
172	1690	8081
173	1699	8065
174	1706	8045
175	1713	8023
176	1721	8006
177	1729	7988
178	1736	7966
179	1744	7948
180	1752	7931
181	1761	7916
182	1769	7898
183	1777	7883
184	1785	7865
185	1793	7848
186	1801	7830
187	1808	7811
188	1816	7794
189	1824	7776
190	1832	7761
